#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#IS_PRIVACY,#PRIVACY_GROUP,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/account.read,yes,ACCOUNT,,IDS_TPLATFORM_BODY_READING_ACCOUNTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_ACCOUNTS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/account.read,yes,ACCOUNT,,IDS_TPLATFORM_BODY_READING_ACCOUNTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_ACCOUNTS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/account.write,yes,ACCOUNT,,IDS_TPLATFORM_BODY_MANAGING_ACCOUNTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CREATE_EDIT_AND_DELETE_ACCOUNTS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/account.write,yes,ACCOUNT,,IDS_TPLATFORM_BODY_MANAGING_ACCOUNTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CREATE_EDIT_AND_DELETE_ACCOUNTS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/alarm.get,no,N/A,,IDS_TPLATFORM_HEADER_RETRIEVING_ALARMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_INFORMATION_ABOUT_YOUR_SAVED_ALARMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/alarm.get,no,N/A,,IDS_TPLATFORM_HEADER_RETRIEVING_ALARMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_INFORMATION_ABOUT_YOUR_SAVED_ALARMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/alarm.set,no,N/A,,IDS_TPLATFORM_BODY_SETTING_ALARMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SET_ALARMS_AND_WAKE_THE_DEVICE_UP_AT_SCHEDULED_TIMES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/alarm.set,no,N/A,,IDS_TPLATFORM_BODY_SETTING_ALARMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SET_ALARMS_AND_WAKE_THE_DEVICE_UP_AT_SCHEDULED_TIMES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,platform,2.3,9.9,no,http://tizen.org/privilege/antivirus,no,N/A,,IDS_TPLATFORM_HEADER_SCANNING_FOR_AND_ERASING_VIRUSES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_ERASE_DATA_IN_ANY_OTHER_APPLICATION_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,platform,2.3.1,9.9,no,http://tizen.org/privilege/antivirus,no,N/A,,IDS_TPLATFORM_HEADER_SCANNING_FOR_AND_ERASING_VIRUSES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_ERASE_DATA_IN_ANY_OTHER_APPLICATION_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/apphistory.read,yes,USERHISTORY,,IDS_TPLATFORM_HEADER_READING_APPLICATION_USAGE_STATISTICS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_THE_STATISTICS_OF_APPLICATION_USAGE_SUCH_AS_WHICH_APPLICATIONS_HAVE_BEEN_USED_FREQUENTLY_OR_RECENTLY,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,core,platform,2.3,9.9,yes,http://tizen.org/privilege/appmanager.kill,no,N/A,,IDS_TPLATFORM_BODY_CLOSING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CLOSE_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,platform,2.3.1,9.9,yes,http://tizen.org/privilege/appmanager.kill,no,N/A,,IDS_TPLATFORM_BODY_CLOSING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CLOSE_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/appmanager.kill.bgapp,no,N/A,,IDS_TPLATFORM_HEADER_CLOSING_BACKGROUND_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_REQUEST_TO_CLOSE_APPLICATIONS_RUNNING_IN_THE_BACKGROUND,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/appmanager.kill.bgapp,no,N/A,,IDS_TPLATFORM_HEADER_CLOSING_BACKGROUND_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_REQUEST_TO_CLOSE_APPLICATIONS_RUNNING_IN_THE_BACKGROUND,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/appmanager.launch,no,N/A,,IDS_TPLATFORM_HEADER_OPENING_AND_RESUMING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_OPEN_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/appmanager.launch,no,N/A,,IDS_TPLATFORM_HEADER_OPENING_AND_RESUMING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_OPEN_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/bluetooth,no,N/A,,IDS_TPLATFORM_BODY_USING_UNRESTRICTED_BLUETOOTH_SERVICES_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_PERFORM_UNRESTRICTED_ACTIONS_USING_BLUETOOTH_SUCH_AS_SCANNING_FOR_AND_CONNECTING_TO_OTHER_DEVICES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/bluetooth,no,N/A,,IDS_TPLATFORM_BODY_USING_UNRESTRICTED_BLUETOOTH_SERVICES_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_PERFORM_UNRESTRICTED_ACTIONS_USING_BLUETOOTH_SUCH_AS_SCANNING_FOR_AND_CONNECTING_TO_OTHER_DEVICES,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,platform,2.3,9.9,yes,http://tizen.org/privilege/bluetooth.admin,no,N/A,,IDS_TPLATFORM_HEADER_CHANGING_BLUETOOTH_SETTINGS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CHANGE_BLUETOOTH_SETTINGS_SUCH_AS_TURNING_BLUETOOTH_ON_OR_OFF_SETTING_THE_DEVICE_NAME_AND_ENABLING_OR_DISABLING_AV_REMOTE_CONTROL,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,platform,2.3.1,9.9,yes,http://tizen.org/privilege/bluetooth.admin,no,N/A,,IDS_TPLATFORM_HEADER_CHANGING_BLUETOOTH_SETTINGS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CHANGE_BLUETOOTH_SETTINGS_SUCH_AS_TURNING_BLUETOOTH_ON_OR_OFF_SETTING_THE_DEVICE_NAME_AND_ENABLING_OR_DISABLING_AV_REMOTE_CONTROL,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
